#w  G'(w)  G"(w) eta(w)
1 5070.18 32130.4 32527.9
1.2 7210.17 38122.5 32331.9
1.44 10200.3 45020.6 32056.7
1.728 14327.6 52824.5 31674.3
2.0736 19930.6 61440.8 31150
2.48832 27370.3 70638.2 30444.4
2.98598 36969.8 80009.9 29517.3
3.58318 48920.2 88965.4 28334.7
4.29982 63171.4 96781.2 26878.7
5.15978 79350.7 102724 25156.6
6.19174 96761.6 106222 23206.3
7.43008 114489 107028 21093.3
8.9161 131586 105291 18901.4
10.6993 147270 101523 16718.1
12.8392 161061 96461.6 14622.2
15.407 172824 90900.2 12674.2
18.4884 182722 85540 10912.4
22.1861 191123 80898.4 9354.48
26.6233 198490 77277.9 8000.62
31.948 205296 74779.6 6838.95
38.3376 211954 73340.1 5850.23
46.0051 218782 72781.3 5011.84
55.2061 225982 72864.2 4300.95
66.2474 233644 73338.8 3696.51
79.4968 241766 73981.9 3180.41
95.3962 250285 74619 2737.76
114.475 259103 75130.3 2356.63
137.371 268110 75448 2027.54
164.845 277199 75549.7 1742.91
197.814 286277 75449 1496.62
237.376 295275 75184.1 1283.6
284.852 304151 74804.9 1099.57
341.822 312883 74361.4 940.835
410.186 321465 73896.8 804.145
492.224 329897 73447.2 686.628
590.668 338181 73044.9 585.742
708.802 346316 72723.1 499.249
850.562 354306 72518.7 425.191
1020.67 362159 72471.7 361.857
1224.81 369887 72623.8 307.761
1469.77 377506 73017.9 261.607
1763.73 385034 73699.8 222.27
2116.47 392489 74719.2 188.776
2539.77 399894 76131.5 160.281
3047.72 407273 77999.1 136.061
3657.26 414653 80392.6 115.489
4388.71 422062 83392.8 98.0291
5266.46 429535 87092.6 83.2202
6319.75 437108 91599.2 70.6677
7583.7 444822 97037 60.0345
9100.44 452725 103551 51.0323
10920.5 460870 111312 43.4156
13104.6 469319 120518 36.9752
15725.6 478146 131404 31.533
18870.7 487442 144246 26.938
22644.8 497318 159369 23.0618
27173.8 507915 177152 19.7956
32608.5 519417 198040 17.0474
39130.2 532066 222549 14.7388
46956.3 546185 251268 12.8036
56347.5 562213 284857 11.1852
67617 580733 324019 9.83496
81140.4 602509 369458 8.71039
97368.5 628481 421805 7.77363
116842 659723 481540 6.99038
140211 697340 548946 6.32964
168253 742348 624131 5.76427
201903 795568 707124 5.27184
242284 857603 798017 4.83506
290741 928879 897088 4.44158
348889 1.00974e+06 1.00488e+06 4.08312
418667 1.10052e+06 1.12225e+06 3.75431
502400 1.20165e+06 1.25031e+06 3.45171
602880 1.31369e+06 1.39046e+06 3.17293
723456 1.43733e+06 1.54436e+06 2.91619
868147 1.57342e+06 1.71392e+06 2.67998
1.04178e+06 1.72295e+06 1.9013e+06 2.46294
